movie_title,title_year,duration,content_rating,gross,budget,country,director_name,actor_main,director_facebook_likes,actor_main_facebook_likes,cast_total_facebook_likes,movie_facebook_likes,num_voted_users,facenumber_in_poster,imdb_score,Financial_Success
Avatar,2009,178,PG-13,760505847,237000000,USA,James Cameron,CCH Pounder,300,2000,5000,33000,443102,0,7.9,1
Pirates of the Caribbean: At World's End,2007,169,PG-13,309404152,300000000,USA,Gore Verbinski,Johnny Depp,563,40000,48350,10000,235610,0,7.1,1
Spectre,2015,148,PG-13,200074175,245000000,UK,Sam Mendes,Christoph Waltz,100,5500,5850,21250,137934,1,6.8,0
The Dark Knight Rises,2012,164,PG-13,448130642,250000000,USA,Christopher Nolan,Tom Hardy,22000,27000,106759,164000,572168.5,0,8.5,1
John Carter,2012,132,PG-13,73058679,263700000,USA,Andrew Stanton,Daryl Sabara,275,1000,2500,6000,106102,1,6.6,0
Spider-Man 3,2007,156,PG-13,336530303,258000000,USA,Sam Raimi,J.K. Simmons,300,24000,46055,10000,191528,0,6.2,1
Awake,2007,84,R,14373825,8600000,USA,Joby Harold,Hayden Christensen,300,4000,6954,10000,31608,0,6.5,1
Crazy Heart,2009,112,R,39462438,7000000,USA,Scott Cooper,Jeff Bridges,300,12000,13172,10000,33880,0,7.3,1
The Rose,1979,125,R,29200000,8500000,USA,Mark Rydell,David Keith,300,2000,5000,1000,3071,0,6.9,1
That Awkward Moment,2014,94,R,26049082,8000000,USA,Tom Gormican,Mackenzie Davis,300,2000,5000,10000,38395.5,3,6.1,1
Much Ado About Nothing,1993,111,PG-13,22551000,8000000,UK,Kenneth Branagh,Keanu Reeves,300,18000,37645,10000,18634.5,0,7.4,1
New Nightmare,1994,107,R,18090181,8000000,USA,Wes Craven,Miko Hughes,300,2000,5000,10000,19095.5,0,6.4,1
Drive Me Crazy,1999,91,PG-13,17843379,8000000,USA,John Schultz,Stephen Collins,300,2000,5000,10000,7452,2,5.7,1
Half Baked,1998,82,R,17278980,8000000,USA,Tamra Davis,Dave Chappelle,300,2000,5000,10000,24112.5,0,6.7,1
New in Town,2009,97,PG,16699684,8000000,USA,Jonas Elmer,J.K. Simmons,300,24000,25792,10000,8730.5,1,5.6,1
Syriana,2005,128,R,50815288,50000000,USA,Stephen Gaghan,Matt Damon,100,6500,7373.5,2500,54595.5,0,7,0
American Psycho,2000,102,R,15047419,7000000,USA,Mary Harron,Christian Bale,300,23000,25462,18000,178637.5,1,7.6,1
The Good Girl,2002,93,R,14015786,5000000,USA,Miguel Arteta,Jake Gyllenhaal,300,15000,27646,938,18976,3,6.5,1
The Boondock Saints II: All Saints Day,2009,138,R,10269307,8000000,USA,Troy Duffy,Norman Reedus,300,12000,17524,10000,26625.5,0,6.3,1
Enough Said,2013,93,PG-13,17536788,8000000,USA,Nicole Holofcener,Christopher Nicholas Smith,300,2000,5000,12000,24620,2,7.1,1
Easy A,2010,92,PG-13,58401464,8000000,USA,Will Gluck,Emma Stone,300,15000,16982,19000,138373,1,7.1,1
Shadow of the Vampire,2000,92,R,8279017,8000000,UK,E. Elias Merhige,Eddie Izzard,100,1000,2500,2500,17095.5,1,6.9,0
Prom,2011,104,PG,10106233,8000000,USA,Joe Nussbaum,Cameron Monaghan,300,2000,5190,10000,6351,0,5.4,1
Held Up,1999,89,PG-13,4692814,8000000,USA,Steve Rash,Barry Corbin,100,1000,2500,2500,1435,2,5.1,0
Woman on Top,2000,92,R,5018450,8000000,USA,Fina Torres,Harold Perrineau,100,1000,2500,214.75,4273,0,5.3,0
Anomalisa,2015,90,R,3442820,8000000,USA,Duke Johnson,Jennifer Jason Leigh,100,1000,2500,2500,15744.5,0,7.3,0
Another Year,2010,129,PG-13,3205244,10000000,UK,Mike Leigh,Jim Broadbent,408,1000,2500,2500,11814.5,0,7.3,0
